hid,unicode
2406,93
2407,123
2408,125
2409,9136
2410,9137
2411,8730
2412,8747
2501,65
2502,66
2503,67
2504,68
2505,69
2506,70
2507,71
2508,72
2509,73
2510,74
2511,75
2512,76
2513,77
2514,78
2515,79
2516,80
2517,81
2518,82
2519,83
2520,84
2521,85
2522,86
2523,87
2524,88
2525,89
2526,90
2551,65
2552,66
2553,67
2554,68
2555,69
2556,70
2557,71
2558,72
2559,73
2560,74
2561,75
2562,76
2563,77
2564,78
2565,79
2566,80
2567,81
2568,82
2569,83
2570,84
2571,85
2572,86
2573,87
2574,88
2575,89
2576,90
2601,97
2602,98
2603,99
2604,100
2605,101
2606,102
2607,103
2608,104
2609,105
2610,106
2611,107
2612,108
2613,109
2614,110
2615,111
2616,112
2617,113
2618,114
2619,115
2620,116
2621,117
2622,118
2623,119
2624,120
2625,121
2626,122
2651,97
2652,98
2653,99
2654,100
2655,101
2656,102
2657,103
2658,104
2659,105
2660,106
2661,107
2662,108
2663,109
2664,110
2665,111
2666,112
2667,113
2668,114
2669,115
2670,116
2671,117
2672,118
2673,119
2674,120
2675,121
2676,122
2697,8203
2698,8194
2699,8195
2700,48
2701,49
2702,50
2703,51
2704,52
2705,53
2706,54
2707,55
2708,56
2709,57
2710,46
2711,44
2712,58
2713,59
2714,33
2715,63
2716,8216
2717,8217
2718,38
2719,36
2720,47
2721,40
2722,41
2723,42
2724,45
2725,43
2726,61
2727,8242
2728,8243
2729,176
2747,8203
2748,8194
2749,8195
2750,48
2751,49
2752,50
2753,51
2754,52
2755,53
2756,54
2757,55
2758,56
2759,57
2760,46
2761,44
2762,58
2763,59
2764,33
2765,63
2766,8216
2767,8217
2768,38
2769,36
2770,47
2771,40
2772,41
2773,42
2774,45
2775,43
2776,61
2777,8242
2778,8243
2779,176
2801,1040
2802,1041
2803,1042
2804,1043
2805,1044
2806,1045
2807,1046
2808,1047
2809,1048
2810,1049
2811,1050
2812,1051
2813,1052
2814,1053
2815,1054
2816,1055
2817,1056
2818,1057
2819,1058
2820,1059
2821,1060
2822,1061
2823,1062
2824,1063
2825,1064
2826,1065
2827,1066
2828,1067
2829,1068
2830,1069
2831,1070
2832,1071
2901,1072
2902,1073
2903,1074
2904,1075
2905,1076
2906,1077
2907,1078
2908,1079
2909,1080
2910,1081
2911,1082
2912,1083
2913,1084
2914,1085
2915,1086
2916,1087
2917,1088
2918,1089
2919,1090
2920,1091
2921,1092
2922,1093
2923,1094
2924,1095
2925,1096
2926,1097
2927,1098
2928,1099
2929,1100
2930,1101
2931,1102
2932,1103
3001,65
3002,66
3003,67
3004,68
3005,69
3006,70
3007,71
3008,72
3009,73
3010,74
3011,75
3012,76
3013,77
3014,78
3015,79
3016,80
3017,81
3018,82
3019,83
3020,84
3021,85
3022,86
3023,87
3024,88
3025,89
3026,90
3051,65
3052,66
3053,67
3054,68
3055,69
3056,70
3057,71
3058,72
3059,73
3060,74
3061,75
3062,76
3063,77
3064,78
3065,79
3066,80
3067,81
3068,82
3069,83
3070,84
3071,85
3072,86
3073,87
3074,88
3075,89
3076,90
3101,97
3102,98
3103,99
3104,100
3105,101
3106,102
3107,103
3108,104
3109,105
3110,106
3111,107
3112,108
3113,109
3114,110
3115,111
3116,112
3117,113
3118,114
3119,115
3120,116
3121,117
3122,118
3123,119
3124,120
3125,121
3126,122
3151,97
3152,98
3153,99
3154,100
3155,101
3156,102
3157,103
3158,104
3159,105
3160,106
3161,107
3162,108
3163,109
3164,110
3165,111
3166,112
3167,113
3168,114
3169,115
3170,116
3171,117
3172,118
3173,119
3174,120
3175,121
3176,122
3197,8203
3198,8194
3199,8195
3200,48
3201,49
3202,50
3203,51
3204,52
3205,53
3206,54
3207,55
3208,56
3209,57
3210,46
3211,44
3212,58
3213,59
3214,33
3215,63
3216,8216
3217,8217
3218,38
3219,36
3220,47
3221,40
3222,41
3223,42
3224,45
3225,43
3226,61
3227,8242
3228,8243
3229,176
3247,8203
3248,8194
3249,8195
3250,48
3251,49
3252,50
3253,51
3254,52
3255,53
3256,54
3257,55
3258,56
3259,57
3260,46
3261,44
3262,58
3263,59
3264,33
3265,63
3266,8216
3267,8217
3268,38
3269,36
3270,47
3271,40
3272,41
3273,42
3274,45
3275,43
3276,61
3277,8242
3278,8243
3279,176
3301,65
3302,66
3303,67
3304,68
3305,69
3306,70
3307,71
3308,72
3309,73
3310,74
3311,75
3312,76
3313,77
3314,78
3315,79
3316,80
3317,81
3318,82
3319,83
3320,84
3321,85
3322,86
3323,87
3324,88
3325,89
3326,90
3401,97
3402,98
3403,99
3404,100
3405,101
3406,102
3407,103
3408,104
3409,105
3410,106
3411,107
3412,108
3413,109
3414,110
3415,111
3416,112
3417,113
3418,114
3419,115
3420,116
3421,117
3422,118
3423,119
3424,120
3425,121
3426,122
3427,65533
3428,65533
3429,65533
3501,65
3502,66
3503,67
3504,68
3505,69
3506,70
3507,71
3508,72
3509,73
3510,74
3511,75
3512,76
3513,77
3514,78
3515,79
3516,80
3517,81
3518,82
3519,83
3520,84
3521,85
3522,86
3523,87
3524,88
3525,89
3526,90
3601,97
3602,98
3603,99
3604,100
3605,101
3606,102
3607,103
3608,104
3609,105
3610,106
3611,107
3612,108
3613,109
3614,110
3615,111
3616,112
3617,113
3618,114
3619,115
3620,116
3621,117
3622,118
3623,119
3624,120
3625,121
3626,122
3697,8203
3698,8194
3699,8195
3700,48
3701,49
3702,50
3703,51
3704,52
3705,53
3706,54
3707,55
3708,56
3709,57
3710,46
3711,44
3712,58
3713,59
3714,33
3715,63
3716,8216
3717,8217
3718,38
3719,36
3720,47
3721,40
3722,41
3723,42
3724,45
3725,43
3726,61
3727,8242
3728,8243
3729,176
3801,65
3802,66
3803,67
3804,68
3805,69
3806,70
3807,71
3808,72
3809,73
3810,74
3811,75
3812,76
3813,77
3814,78
3815,79
3816,80
3817,81
3818,82
3819,83
3820,84
3821,85
3822,86
3823,87
3824,88
3825,89
3826,90
3901,97
3902,98
3903,99
3904,100
3905,101
3906,102
3907,103
3908,104
3909,105
3910,106
3911,107
3912,108
3913,109
3914,110
3915,111
3916,112
3917,113
3918,114
3919,115
3920,116
3921,117
3922,118
3923,119
3924,120
3925,121
3926,122
